team,players_used,90s,tackles,tackles_won,tack_def,tack_mid,tack_att,tack_dribblers,tack_and_dribb_past,tackle_dribb%,dribb_past,pressures,press_succ,press_succ%,press_def,press_mid,press_att,blocks,shots_blocked,shots_blocked_target,pass_blocked,interceptions,int_+_tackles,clears,errors
Arsenal,27,33.0,502,310,227,190,85,167,384,43.5,217,4199,1271,30.3,1229,1689,1281,470,124,0,346,427,929,557,12
Aston Villa,30,32.0,576,338,283,224,69,216,500,43.2,284,4581,1282,28.0,1537,2002,1042,530,128,3,402,498,1074,588,5
Brentford,28,34.0,640,371,313,235,92,236,551,42.8,315,5036,1445,28.7,1816,2120,1100,559,115,3,444,537,1177,813,11
Brighton,26,34.0,662,414,294,261,107,223,521,42.8,298,5091,1627,32.0,1635,2043,1413,586,151,3,435,510,1172,673,13
Burnley,23,33.0,553,318,254,227,72,199,504,39.5,305,4869,1320,27.1,1544,2091,1234,646,215,8,431,556,1109,813,9
Chelsea,25,32.0,549,325,238,226,85,184,462,39.8,278,4679,1432,30.6,1447,2004,1228,495,104,5,391,487,1036,656,11
Crystal Palace,24,32.0,622,370,316,230,76,207,465,44.5,258,5226,1553,29.7,1863,2277,1086,519,130,0,389,477,1099,686,6
Everton,32,32.0,670,410,341,247,82,271,614,44.1,343,5340,1599,29.9,1840,2298,1202,574,141,1,433,518,1188,698,8
Leeds United,29,32.0,722,402,368,265,89,319,723,44.1,404,5695,1766,31.0,1967,2446,1282,527,142,4,385,548,1270,642,11
Leicester City,26,32.0,633,362,300,257,76,214,557,38.4,343,4972,1434,28.8,1715,2210,1047,540,144,4,396,475,1108,699,12
Liverpool,27,33.0,499,310,177,225,97,172,476,36.1,304,4601,1471,32.0,1121,2051,1429,405,83,5,322,486,985,505,6
Manchester City,25,33.0,450,287,155,202,93,167,427,39.1,260,3752,1215,32.4,821,1664,1267,345,59,2,286,384,834,410,5
Manchester Utd,27,34.0,572,345,299,204,69,209,512,40.8,303,4483,1320,29.4,1494,1988,1001,507,139,2,368,494,1066,716,9
Newcastle Utd,29,34.0,626,355,339,217,70,225,552,40.8,327,4881,1310,26.8,1788,2034,1059,533,155,4,378,543,1169,757,8
Norwich City,27,33.0,601,350,317,230,54,235,572,41.1,337,5291,1375,26.0,2054,2151,1086,571,177,4,394,545,1146,750,7
Southampton,25,34.0,592,354,272,237,83,198,524,37.8,326,5135,1596,31.1,1659,2228,1248,536,126,4,410,619,1211,764,9
Tottenham,25,33.0,605,328,283,248,74,204,504,40.5,300,4858,1345,27.7,1831,2083,944,528,158,4,370,487,1092,702,4
Watford,30,33.0,606,373,347,209,50,219,541,40.5,322,5053,1451,28.7,1838,2185,1030,505,136,5,369,589,1195,801,7
West Ham,25,34.0,510,320,262,179,69,209,521,40.1,312,4373,1236,28.3,1549,1860,964,520,162,2,358,495,1005,732,4
Wolves,25,33.0,653,417,369,223,61,225,548,41.1,323,4810,1449,30.1,1862,2086,862,515,125,3,390,488,1141,750,6
