team,players_used,90s,shot_cre_acts,shot_cre_acts_90,live_sca,dead_sca,dribb_sca,shot_sca,foul_sca,dfa_sca,goal_cre_acts,goal_cre_acts_90,live_gca,dead_gca,dribb_gca,shot_gca,foul_gca,dfa_gca
Arsenal,27,33.0,795,24.09,599,53,45,46,35,17,76,2.30,55,6,0,8,4,3
Aston Villa,30,32.0,598,18.69,423,65,30,25,44,11,64,2.00,40,7,7,6,4,0
Brentford,28,34.0,543,15.97,372,71,23,36,30,11,62,1.82,38,6,1,8,8,1
Brighton,26,34.0,650,19.12,459,68,40,39,30,14,49,1.44,35,6,1,3,4,0
Burnley,23,33.0,484,14.67,327,58,20,29,40,10,48,1.45,31,7,4,2,4,0
Chelsea,25,32.0,783,24.47,589,50,48,46,37,13,108,3.38,77,7,6,8,9,1
Crystal Palace,24,32.0,513,16.03,366,41,29,28,32,17,65,2.03,45,2,6,5,5,2
Everton,32,32.0,577,18.03,419,53,28,27,36,14,51,1.59,36,2,3,4,6,0
Leeds United,29,32.0,634,19.81,450,54,34,42,34,20,54,1.69,30,1,7,8,4,4
Leicester City,26,32.0,537,16.78,400,32,34,26,29,16,73,2.28,52,3,3,7,4,4
Liverpool,27,33.0,923,27.97,658,86,59,68,31,21,141,4.27,99,8,12,16,5,1
Manchester City,25,33.0,960,29.09,740,67,48,60,36,9,114,3.45,78,6,5,13,8,4
Manchester Utd,27,34.0,783,23.03,596,58,47,28,35,19,94,2.76,70,5,6,6,4,3
Newcastle Utd,29,34.0,607,17.85,400,68,48,43,32,16,62,1.82,38,3,3,7,8,3
Norwich City,27,33.0,479,14.52,329,51,24,25,35,15,30,0.91,24,2,1,0,2,1
Southampton,25,34.0,672,19.76,481,58,31,36,44,22,57,1.68,40,4,1,2,8,2
Tottenham,25,33.0,685,20.76,525,43,34,41,33,9,94,2.85,78,2,4,6,4,0
Watford,30,33.0,556,16.85,395,42,45,26,31,17,50,1.52,33,4,3,5,2,3
West Ham,25,34.0,625,18.38,443,62,39,40,25,16,86,2.53,57,10,4,8,5,2
Wolves,25,33.0,527,15.97,378,34,46,28,25,16,48,1.45,29,2,4,8,3,2
