team,players_used,90s,GA,pkA,fkA,ckA,OG,ps_xG,ps_xG/SoT,ps_xG+/-,ps_xG+/-_p90,long_pass_cmp,long_pass_att,long_pass_cmp%,pass_att,throw_att,long_pass%,average_pass_len,gk_att,gk_long%,gk_avg_len,crosses,cross_stopped,cross_stop%,def_actions_OPA,def_actions_OPA_p90,def_actions_avgdist_FG
Arsenal,2,33.0,40,4,0,2,0,33.5,0.24,-6.5,-0.20,173,505,34.3,916,151,39.4,36.9,202,71.3,55.8,266,22,8.3,31,0.94,15.8
Aston Villa,2,32.0,46,3,2,6,2,36.7,0.28,-7.3,-0.23,173,427,40.5,728,124,43.4,37.9,242,45.9,39.9,249,14,5.6,25,0.78,14.5
Brentford,3,34.0,49,2,1,7,2,48.6,0.30,+1.6,+0.05,315,776,40.6,1189,155,50.9,40.7,264,64.8,48.2,335,21,6.3,37,1.09,15.3
Brighton,2,34.0,42,3,1,6,0,42.1,0.30,+0.1,0.00,175,560,31.3,1197,147,34.8,36.9,209,68.9,54.0,279,34,12.2,30,0.88,14.2
Burnley,2,33.0,45,3,1,8,1,46.5,0.31,+2.5,+0.07,304,799,38.0,745,123,74.9,53.6,260,92.7,65.6,336,31,9.2,54,1.64,17.9
Chelsea,2,32.0,27,6,0,2,1,28.5,0.26,+2.5,+0.08,112,260,43.1,756,133,26.7,29.6,168,34.5,30.7,246,19,7.7,21,0.66,13.9
Crystal Palace,2,32.0,41,3,2,10,2,34.7,0.26,-4.3,-0.14,167,394,42.4,821,165,35.4,32.9,221,46.6,37.8,253,18,7.1,18,0.56,14.3
Everton,2,32.0,55,1,2,11,4,47.8,0.31,-3.2,-0.10,239,713,33.5,774,103,66.7,51.3,248,79.4,62.7,263,17,6.5,21,0.66,15.2
Leeds United,2,32.0,68,5,3,10,1,59.3,0.30,-7.7,-0.24,132,399,33.1,927,215,33.0,31.9,233,39.9,36.7,197,19,9.6,31,0.97,14.8
Leicester City,1,32.0,51,6,1,13,1,49.6,0.29,-0.4,-0.01,232,537,43.2,848,126,47.3,39.4,262,51.9,44.1,248,17,6.9,15,0.47,12.6
Liverpool,2,33.0,22,0,0,3,1,26.0,0.30,+5.0,+0.15,154,299,51.5,1109,181,20.6,29.3,167,41.9,38.3,201,17,8.5,52,1.58,17.6
Manchester City,2,33.0,21,1,0,1,0,19.7,0.25,-1.3,-0.04,136,240,56.7,885,143,23.7,29.6,127,23.6,30.8,156,14,9.0,31,0.94,17.0
Manchester Utd,1,34.0,51,3,0,6,3,55.5,0.33,+7.5,+0.22,125,339,36.9,547,112,37.1,35.3,268,50.7,42.2,257,8,3.1,8,0.24,13.9
Newcastle Utd,3,34.0,55,5,0,6,2,50.6,0.34,-2.4,-0.07,286,664,43.1,775,113,52.8,43.0,301,84.7,60.9,287,25,8.7,10,0.29,12.7
Norwich City,2,33.0,69,8,1,10,2,65.4,0.33,-1.6,-0.05,222,568,39.1,903,171,47.6,40.1,269,51.3,43.5,303,16,5.3,16,0.48,13.1
Southampton,3,34.0,56,2,0,11,2,54.6,0.34,+0.6,+0.02,204,611,33.4,798,122,51.9,42.8,248,79.4,56.9,316,33,10.4,20,0.59,13.4
Tottenham,1,33.0,38,2,1,5,1,36.5,0.29,-0.5,-0.01,138,297,46.5,575,125,36.2,34.2,238,37.4,32.9,303,19,6.3,23,0.70,14.4
Watford,2,33.0,67,5,1,8,3,56.5,0.35,-7.5,-0.23,275,770,35.7,791,97,68.3,50.2,273,84.2,60.8,320,14,4.4,32,0.97,14.9
West Ham,2,34.0,44,2,1,7,1,45.4,0.31,+2.4,+0.07,224,562,39.9,653,128,57.3,44.8,261,72.0,53.8,320,12,3.8,6,0.18,11.6
Wolves,1,33.0,29,7,1,1,1,38.4,0.25,+10.4,+0.32,144,436,33.0,741,175,43.0,39.6,230,50.9,42.6,295,33,11.2,37,1.12,15.7
