team,players_used,90s,yellows,reds,sec_yellows,fouls,fouls_won,offsides,crosses,interceptions,tackles_won,pens_won,pens_con,og,loose_balls_rec,aerials_won,aerials_lost,aerials_won%
Arsenal,27,33.0,55,3,2,367,380,62,364,427,310,6,5,0,2757,486,583,45.5
Aston Villa,30,32.0,72,2,1,413,511,40,384,498,338,2,5,2,2549,500,534,48.4
Brentford,28,34.0,58,2,1,402,388,63,367,537,371,6,2,2,3177,755,757,49.9
Brighton,26,34.0,68,2,0,432,395,48,435,510,414,3,4,0,3041,577,576,50.0
Burnley,23,33.0,61,1,0,408,336,93,393,556,318,1,2,1,3015,867,788,52.4
Chelsea,25,32.0,52,1,0,407,427,58,401,487,325,7,5,1,2639,527,476,52.5
Crystal Palace,24,32.0,54,1,1,418,467,52,350,477,370,6,4,2,2795,620,545,53.2
Everton,32,32.0,74,4,2,383,393,49,351,518,410,6,1,4,2859,593,737,44.6
Leeds United,29,32.0,91,1,0,467,385,56,391,548,402,3,5,1,2859,467,547,46.1
Leicester City,26,32.0,47,1,0,389,428,53,276,475,362,1,8,1,2657,538,528,50.5
Liverpool,27,33.0,43,1,0,368,341,55,476,486,310,5,0,1,3290,544,467,53.8
Manchester City,25,33.0,37,1,0,339,381,60,525,384,287,6,1,0,2631,447,375,54.4
Manchester Utd,27,34.0,70,2,1,418,365,75,390,494,345,2,5,3,2865,576,443,56.5
Newcastle Utd,29,34.0,77,2,1,441,413,52,365,543,355,1,6,2,2690,710,658,51.9
Norwich City,27,33.0,49,1,1,411,439,52,332,545,350,2,11,2,2566,531,602,46.9
Southampton,25,34.0,60,2,1,450,402,37,400,619,354,3,1,2,3183,675,819,45.2
Tottenham,25,33.0,60,1,1,419,449,54,347,487,328,2,2,1,2536,554,484,53.4
Watford,30,33.0,58,2,2,475,346,46,326,589,373,2,6,3,2865,709,731,49.2
West Ham,25,34.0,45,3,2,332,317,53,464,495,320,3,3,1,2909,633,636,49.9
Wolves,25,33.0,57,2,2,412,364,56,326,488,417,1,7,1,2705,495,518,48.9
