team,long_attem%,medium_attem%,short_attem%,ground%,low%,high%,possession,prog_distance%,press_att_p90,cross%,physicality,dead_balls%,np_goals-xG,long%,play_style_id
Arsenal,17.8,41.3,40.8,71.4,11.9,16.7,53.0,29.6,38.8,2.2,86.3,6.7,0.0,55.4,2
Aston Villa,21.8,40.8,37.4,65.8,12.2,22.0,46.3,35.2,32.6,2.9,89.4,10.9,2.8,44.6,0
Brentford,23.8,40.8,35.4,57.4,14.9,27.7,44.0,37.4,32.4,2.6,89.1,13.1,-2.8,57.8,0
Brighton,19.7,42.9,37.3,70.7,11.7,17.6,55.5,29.8,41.6,2.4,93.2,10.5,-7.1,51.8,1
Burnley,29.3,33.2,37.5,48.5,16.1,35.4,39.4,41.8,37.4,3.3,90.6,12.0,-3.7,83.8,5
Chelsea,15.3,43.3,41.5,76.1,10.5,13.3,61.2,30.3,38.4,2.0,91.4,6.4,8.7,30.6,4
Crystal Palace,20.0,43.4,36.6,66.9,11.8,21.3,50.3,31.8,33.9,2.2,92.6,8.0,4.9,41.0,3
Everton,24.0,38.4,37.6,58.8,14.6,26.6,40.7,37.7,37.6,2.9,86.6,9.2,-2.6,73.1,0
Leeds United,20.9,41.9,37.2,66.0,15.0,19.1,54.3,33.1,40.1,2.6,90.1,8.5,-4.2,36.4,1
Leicester City,17.8,42.4,39.9,70.7,11.7,17.6,51.4,32.4,32.7,1.7,88.2,6.0,5.0,49.6,2
Liverpool,18.8,44.2,37.0,71.9,11.7,16.4,63.0,31.7,43.3,2.2,91.0,9.3,5.3,31.2,1
Manchester City,15.9,43.6,40.5,78.9,9.0,12.1,68.4,26.0,38.4,2.2,90.3,7.0,2.6,23.6,4
Manchester Utd,18.1,40.3,41.7,71.6,12.1,16.3,52.7,30.3,29.4,2.2,94.7,7.4,2.0,43.9,2
Newcastle Utd,24.8,38.2,37.0,59.2,14.4,26.4,39.8,38.1,31.1,2.9,92.1,11.2,2.0,68.8,5
Norwich City,24.1,40.0,35.9,63.0,13.4,23.6,42.8,34.1,32.9,2.4,88.2,10.6,-10.0,49.4,0
Southampton,19.9,39.7,40.4,63.9,11.9,24.2,48.4,34.5,36.7,2.7,90.5,8.6,-6.8,65.6,0
Tottenham,16.6,43.1,40.3,74.7,10.4,14.9,52.0,30.3,28.6,2.0,90.3,6.3,-4.5,36.8,2
Watford,25.6,39.2,35.2,55.6,15.4,29.0,40.5,38.0,31.2,2.6,95.1,7.6,-3.0,76.2,5
West Ham,21.5,40.4,38.1,65.4,13.0,21.6,47.8,33.3,28.4,2.9,86.9,9.9,5.3,64.6,0
Wolves,22.0,42.9,35.1,68.5,12.3,19.3,50.3,30.9,26.1,2.0,92.0,6.5,-1.2,47.0,3
