team,players_used,age,mp,minutes,min_per_m,min%,90s,starts,min_per_start,completed,subs,min_per_sub,un_sub,ppm,goals_while_playing,against_while_playing,goal_diff,goal_diff_90,on_xG,on_xGA,xG_diff,xG_diff_90
Arsenal,27,25.2,33,"2,970",90,100,33.0,363,85,266,94,17,203,1.82,52,40,+12,+0.36,52.1,39.8,+12.3,+0.37
Aston Villa,30,26.8,32,"2,880",90,100,32.0,352,85,256,95,20,192,1.16,42,46,-4,-0.12,36.4,39.1,-2.7,-0.08
Brentford,28,26.2,34,"3,060",90,100,34.0,374,84,272,102,22,199,1.18,41,49,-8,-0.24,41.4,43.3,-2.0,-0.06
Brighton,26,26.9,34,"3,060",90,100,34.0,374,84,276,99,23,207,1.21,31,42,-11,-0.32,36.8,42.0,-5.2,-0.15
Burnley,23,29.4,33,"2,970",90,100,33.0,363,86,279,83,20,212,0.94,29,45,-16,-0.48,31.4,49.0,-17.6,-0.53
Chelsea,25,28.1,32,"2,880",90,100,32.0,352,84,258,93,22,190,2.03,67,27,+40,+1.25,56.1,30.4,+25.7,+0.80
Crystal Palace,24,27.9,32,"2,880",90,100,32.0,352,85,261,90,18,193,1.16,43,41,+2,+0.06,38.4,37.0,+1.5,+0.05
Everton,32,27.5,32,"2,880",90,100,32.0,352,85,269,80,20,203,0.91,34,55,-21,-0.66,35.1,45.1,-10.0,-0.31
Leeds United,29,26.9,32,"2,880",90,100,32.0,352,83,265,89,29,198,1.03,38,68,-30,-0.94,41.2,57.9,-16.6,-0.52
Leicester City,26,27.1,32,"2,880",90,100,32.0,352,84,258,93,23,195,1.31,47,51,-4,-0.12,41.5,52.7,-11.2,-0.35
Liverpool,27,28.5,33,"2,970",90,100,33.0,363,85,266,96,17,201,2.39,85,22,+63,+1.91,78.5,30.8,+47.7,+1.44
Manchester City,25,27.7,33,"2,970",90,100,33.0,363,86,295,67,19,228,2.42,80,21,+59,+1.79,74.7,23.0,+51.7,+1.57
Manchester Utd,27,27.9,34,"3,060",90,100,34.0,374,85,271,102,19,203,1.59,53,51,+2,+0.06,51.0,48.0,+2.9,+0.09
Newcastle Utd,29,28.3,34,"3,060",90,100,34.0,374,85,278,95,18,210,1.26,40,55,-15,-0.44,35.5,48.0,-12.6,-0.37
Norwich City,27,26.9,33,"2,970",90,100,33.0,363,85,263,99,20,197,0.64,22,69,-47,-1.42,29.2,64.7,-35.4,-1.07
Southampton,25,26.4,34,"3,060",90,100,34.0,374,85,275,98,19,208,1.18,40,56,-16,-0.47,44.1,50.7,-6.6,-0.19
Tottenham,25,27.3,33,"2,970",90,100,33.0,363,85,270,92,19,205,1.76,56,38,+18,+0.55,53.8,36.3,+17.5,+0.53
Watford,30,29.2,33,"2,970",90,100,33.0,363,84,265,96,23,200,0.67,31,67,-36,-1.09,34.5,56.8,-22.3,-0.67
West Ham,25,28.9,34,"3,060",90,100,34.0,374,86,288,83,17,223,1.53,52,44,+8,+0.24,45.0,45.3,-0.3,-0.01
Wolves,25,28.1,33,"2,970",90,100,33.0,363,86,270,92,14,201,1.48,33,29,+4,+0.12,30.8,47.6,-16.8,-0.51
