team,players_used,90s,goals,shots,SoT,SoT%,shots_p90,SoT_p90,goals_per_shot,goals_per_SoT,avg_dist,free_kicks_att,pk_scored,pk_att,xG,np_xG,np_xG_per_shot,goals-xG,np_goals-xG
Arsenal,27,33.0,51,504,155,30.8,15.27,4.70,0.09,0.30,17.2,19,4,7,52.1,47.0,0.10,-1.1,0.0
Aston Villa,30,32.0,40,380,127,33.4,11.87,3.97,0.10,0.29,17.1,18,3,3,36.4,34.2,0.09,+3.6,+2.8
Brentford,28,34.0,40,379,119,31.4,11.15,3.50,0.09,0.29,15.7,7,6,6,41.4,36.8,0.10,-1.4,-2.8
Brighton,26,34.0,29,418,114,27.3,12.29,3.35,0.06,0.23,17.0,15,3,5,36.8,33.1,0.08,-7.8,-7.1
Burnley,23,33.0,27,344,97,28.2,10.42,2.94,0.08,0.28,16.6,12,0,1,31.4,30.7,0.09,-4.4,-3.7
Chelsea,25,32.0,66,472,165,35.0,14.75,5.16,0.13,0.36,16.8,22,7,8,56.1,50.3,0.11,+9.9,+8.7
Crystal Palace,24,32.0,43,330,111,33.6,10.31,3.47,0.12,0.34,15.6,12,5,7,38.4,33.1,0.10,+4.6,+4.9
Everton,32,32.0,33,369,102,27.6,11.53,3.19,0.08,0.27,17.2,16,5,6,35.1,30.6,0.08,-2.1,-2.6
Leeds United,29,32.0,38,429,128,29.8,13.41,4.00,0.08,0.27,17.8,12,4,4,41.2,38.2,0.09,-3.2,-4.2
Leicester City,26,32.0,47,366,131,35.8,11.44,4.09,0.12,0.34,17.3,14,2,2,41.5,40.0,0.11,+5.5,+5.0
Liverpool,27,33.0,85,605,206,34.0,18.33,6.24,0.13,0.38,15.8,5,7,8,78.5,72.7,0.12,+6.5,+5.3
Manchester City,25,33.0,78,595,207,34.8,18.03,6.27,0.12,0.34,15.8,13,7,8,74.7,68.4,0.12,+3.3,+2.6
Manchester Utd,27,34.0,52,466,163,35.0,13.71,4.79,0.11,0.31,17.0,16,2,4,51.0,48.0,0.10,+1.0,+2.0
Newcastle Utd,29,34.0,38,409,126,30.8,12.03,3.71,0.09,0.29,17.0,13,2,2,35.5,34.0,0.09,+2.5,+2.0
Norwich City,27,33.0,20,327,92,28.1,9.91,2.79,0.05,0.18,18.2,17,3,3,29.2,27.0,0.08,-9.2,-10.0
Southampton,25,34.0,38,446,149,33.4,13.12,4.38,0.08,0.23,16.9,20,3,3,44.1,41.8,0.10,-6.1,-6.8
Tottenham,25,33.0,50,415,153,36.9,12.58,4.64,0.11,0.31,16.4,16,3,3,53.8,51.5,0.13,-3.8,-4.5
Watford,30,33.0,31,352,115,32.7,10.67,3.48,0.09,0.26,17.8,20,1,2,34.5,33.0,0.10,-3.5,-3.0
West Ham,25,34.0,50,413,131,31.7,12.15,3.85,0.11,0.36,16.0,13,3,5,45.0,41.7,0.10,+5.0,+5.3
Wolves,25,33.0,30,347,117,33.7,10.52,3.55,0.08,0.25,18.0,11,1,1,30.8,30.2,0.09,-0.8,-1.2
